vm_id,current_size,current_cost,recommended_size,new_cost,monthly_savings
vm-104468,Standard_L8s,808.37,Standard_E4s_v3,183.96,624.41
vm-101448,Standard_L8s,807.31,Standard_E4s_v3,183.96,623.3499999999999
vm-102022,Standard_L8s,806.67,Standard_B4ms,60.74,745.93
vm-100720,Standard_L8s,805.34,Standard_E4s_v3,183.96,621.38
vm-103076,Standard_L8s,805.17,Standard_B4ms,60.74,744.43
vm-100134,Standard_L8s,805.1,Standard_E4s_v3,183.96,621.14
vm-104245,Standard_L8s,804.87,Standard_B4ms,60.74,744.13
vm-104945,Standard_L8s,804.72,Standard_E4s_v3,183.96,620.76
vm-100789,Standard_L8s,804.63,Standard_E4s_v3,183.96,620.67
vm-103704,Standard_L8s,804.55,Standard_B4ms,60.74,743.81
vm-104269,Standard_L8s,804.52,Standard_B4ms,60.74,743.78
vm-102638,Standard_L8s,804.51,Standard_E4s_v3,183.96,620.55
vm-103515,Standard_L8s,804.25,Standard_B4ms,60.74,743.51
vm-101024,Standard_L8s,803.38,Standard_B4ms,60.74,742.64
vm-102788,Standard_L8s,802.51,Standard_E4s_v3,183.96,618.55
vm-101185,Standard_L8s,801.95,Standard_E4s_v3,183.96,617.99
vm-102885,Standard_L8s,801.76,Standard_E4s_v3,183.96,617.8
vm-100256,Standard_L8s,799.67,Standard_E4s_v3,183.96,615.7099999999999
vm-100508,Standard_L8s,799.51,Standard_E4s_v3,183.96,615.55
vm-100052,Standard_L8s,798.58,Standard_E4s_v3,183.96,614.62
vm-101655,Standard_L8s,798.25,Standard_E4s_v3,183.96,614.29
vm-102053,Standard_L8s,798.11,Standard_E4s_v3,183.96,614.15
vm-100917,Standard_L8s,797.55,Standard_E4s_v3,183.96,613.5899999999999
vm-104920,Standard_L8s,797.4,Standard_E4s_v3,183.96,613.4399999999999
vm-103885,Standard_L8s,796.45,Standard_E4s_v3,183.96,612.49
vm-102344,Standard_L8s,795.22,Standard_E4s_v3,183.96,611.26
vm-103930,Standard_L8s,794.74,Standard_E4s_v3,183.96,610.78
vm-103059,Standard_L8s,792.8,Standard_B4ms,60.74,732.06
vm-103590,Standard_L8s,792.4,Standard_B4ms,60.74,731.66
vm-104050,Standard_L8s,790.93,Standard_E4s_v3,183.96,606.9699999999999
vm-103026,Standard_L8s,790.88,Standard_E4s_v3,183.96,606.92
vm-103801,Standard_L8s,789.61,Standard_E4s_v3,183.96,605.65
vm-100364,Standard_L8s,786.07,Standard_E4s_v3,183.96,602.11
vm-100869,Standard_L8s,785.99,Standard_B4ms,60.74,725.25
vm-102734,Standard_L8s,785.89,Standard_E4s_v3,183.96,601.93
vm-101415,Standard_L8s,784.97,Standard_E4s_v3,183.96,601.01
vm-100806,Standard_L8s,784.08,Standard_E4s_v3,183.96,600.12
vm-104321,Standard_L8s,784.04,Standard_E4s_v3,183.96,600.0799999999999
vm-102553,Standard_L8s,783.82,Standard_E4s_v3,183.96,599.86
vm-100488,Standard_L8s,782.47,Standard_B4ms,60.74,721.73
vm-103454,Standard_L8s,781.49,Standard_E4s_v3,183.96,597.53
vm-102862,Standard_L8s,781.24,Standard_B4ms,60.74,720.5
vm-104857,Standard_L8s,780.46,Standard_B4ms,60.74,719.72
vm-102843,Standard_L8s,779.1,Standard_E4s_v3,183.96,595.14
vm-104406,Standard_L8s,778.95,Standard_E4s_v3,183.96,594.99
vm-103079,Standard_L8s,778.9,Standard_B4ms,60.74,718.16
vm-100445,Standard_L8s,778.51,Standard_B4ms,60.74,717.77
vm-103196,Standard_L8s,777.96,Standard_E4s_v3,183.96,594.0
vm-103128,Standard_L8s,777.91,Standard_B4ms,60.74,717.17
vm-102968,Standard_L8s,777.73,Standard_E4s_v3,183.96,593.77
vm-101864,Standard_D16s_v3,576.06,Standard_F8s_v2,245.28,330.78
vm-101171,Standard_D16s_v3,575.29,Standard_F8s_v2,245.28,330.01
vm-100305,Standard_D16s_v3,570.93,Standard_D8s_v3,280.32,290.60999999999996
vm-103096,Standard_D16s_v3,568.26,Standard_F8s_v2,245.28,322.98
vm-103512,Standard_D16s_v3,567.53,Standard_B4ms,60.74,506.78999999999996
vm-101830,Standard_D16s_v3,567.5,Standard_D8s_v3,280.32,287.18
vm-103803,Standard_D16s_v3,566.55,Standard_D8s_v3,280.32,286.22999999999996
vm-102485,Standard_D16s_v3,564.06,Standard_D8s_v3,280.32,283.73999999999995
vm-104327,Standard_D16s_v3,563.25,Standard_B4ms,60.74,502.51
vm-100675,Standard_D16s_v3,563.15,Standard_F8s_v2,245.28,317.87
vm-102701,Standard_D16s_v3,560.48,Standard_B4ms,60.74,499.74
vm-103789,Standard_D16s_v3,560.25,Standard_E4s_v3,183.96,376.28999999999996
vm-104036,Standard_D16s_v3,559.72,Standard_E4s_v3,183.96,375.76
vm-100932,Standard_D16s_v3,557.24,Standard_E4s_v3,183.96,373.28
vm-103444,Standard_D16s_v3,557.18,Standard_F8s_v2,245.28,311.9
vm-101228,Standard_D16s_v3,557.15,Standard_E4s_v3,183.96,373.18999999999994
vm-104990,Standard_D16s_v3,556.99,Standard_D8s_v3,280.32,276.67
vm-104850,Standard_D16s_v3,555.08,Standard_E4s_v3,183.96,371.12
vm-102782,Standard_D16s_v3,551.72,Standard_E4s_v3,183.96,367.76
vm-101061,Standard_D16s_v3,549.51,Standard_E4s_v3,183.96,365.54999999999995
vm-102124,Standard_D16s_v3,548.66,Standard_F8s_v2,245.28,303.38
vm-103037,Standard_D16s_v3,548.54,Standard_F8s_v2,245.28,303.26
vm-104445,Standard_D16s_v3,547.7,Standard_E4s_v3,183.96,363.74
vm-104578,Standard_D16s_v3,546.39,Standard_E4s_v3,183.96,362.42999999999995
vm-101754,Standard_D16s_v3,543.55,Standard_D8s_v3,280.32,263.22999999999996
vm-102853,Standard_E8s_v3,410.82,Standard_B4ms,60.74,350.08
vm-103132,Standard_E8s_v3,410.78,Standard_E4s_v3,183.96,226.81999999999996
vm-103836,Standard_E8s_v3,410.48,Standard_B4ms,60.74,349.74
vm-101838,Standard_E8s_v3,410.39,Standard_B4ms,60.74,349.65
vm-102515,Standard_E8s_v3,410.19,Standard_E4s_v3,183.96,226.23
vm-104558,Standard_E8s_v3,408.88,Standard_B4ms,60.74,348.14
vm-100796,Standard_E8s_v3,408.66,Standard_B2s,30.37,378.29
vm-100825,Standard_E8s_v3,407.58,Standard_E4s_v3,183.96,223.61999999999998
vm-103725,Standard_E8s_v3,407.58,Standard_B4ms,60.74,346.84
vm-103438,Standard_E8s_v3,407.57,Standard_E4s_v3,183.96,223.60999999999999
vm-103698,Standard_E8s_v3,406.4,Standard_E4s_v3,183.96,222.43999999999997
vm-103141,Standard_E8s_v3,404.4,Standard_E4s_v3,183.96,220.43999999999997
vm-101015,Standard_E8s_v3,403.83,Standard_E4s_v3,183.96,219.86999999999998
vm-101662,Standard_E8s_v3,401.17,Standard_B4ms,60.74,340.43
vm-100807,Standard_E8s_v3,400.94,Standard_E4s_v3,183.96,216.98
vm-101667,Standard_E8s_v3,400.67,Standard_E4s_v3,183.96,216.71
vm-101955,Standard_E8s_v3,399.72,Standard_B4ms,60.74,338.98
vm-103985,Standard_E8s_v3,398.81,Standard_B4ms,60.74,338.07
vm-103838,Standard_E8s_v3,398.45,Standard_E4s_v3,183.96,214.48999999999998
vm-104093,Standard_E8s_v3,398.34,Standard_E4s_v3,183.96,214.37999999999997
vm-103166,Standard_E8s_v3,397.81,Standard_E4s_v3,183.96,213.85
vm-101639,Standard_E8s_v3,397.48,Standard_E4s_v3,183.96,213.52
vm-102949,Standard_E8s_v3,397.3,Standard_E4s_v3,183.96,213.34
vm-101519,Standard_E8s_v3,397.15,Standard_E4s_v3,183.96,213.18999999999997
vm-101419,Standard_E8s_v3,396.77,Standard_B4ms,60.74,336.03
vm-104433,Standard_E8s_v3,396.7,Standard_E4s_v3,183.96,212.73999999999998
vm-100055,Standard_E8s_v3,396.55,Standard_E4s_v3,183.96,212.59
vm-103636,Standard_E8s_v3,396.29,Standard_B4ms,60.74,335.55
vm-100615,Standard_E8s_v3,395.43,Standard_E4s_v3,183.96,211.47
vm-100242,Standard_E8s_v3,394.63,Standard_B4ms,60.74,333.89
vm-104929,Standard_E8s_v3,394.62,Standard_B4ms,60.74,333.88
vm-103686,Standard_E8s_v3,394.57,Standard_E4s_v3,183.96,210.60999999999999
vm-104915,Standard_E8s_v3,393.18,Standard_B4ms,60.74,332.44
vm-104144,Standard_E8s_v3,392.85,Standard_E4s_v3,183.96,208.89000000000001
vm-103956,Standard_E8s_v3,392.49,Standard_E4s_v3,183.96,208.53
vm-100715,Standard_E8s_v3,391.97,Standard_B4ms,60.74,331.23
vm-100395,Standard_E8s_v3,391.96,Standard_E4s_v3,183.96,207.99999999999997
vm-100112,Standard_E8s_v3,391.72,Standard_B4ms,60.74,330.98
vm-103902,Standard_E8s_v3,391.32,Standard_E4s_v3,183.96,207.35999999999999
vm-100577,Standard_E8s_v3,390.38,Standard_B4ms,60.74,329.64
vm-102100,Standard_E8s_v3,390.03,Standard_E4s_v3,183.96,206.06999999999996
vm-101018,Standard_E8s_v3,389.63,Standard_E4s_v3,183.96,205.67
vm-102205,Standard_E8s_v3,389.58,Standard_B4ms,60.74,328.84
vm-103886,Standard_E8s_v3,388.81,Standard_B4ms,60.74,328.07
vm-100996,Standard_E8s_v3,388.38,Standard_B4ms,60.74,327.64
vm-100684,Standard_E8s_v3,388.16,Standard_E4s_v3,183.96,204.20000000000002
vm-101517,Standard_D8s_v3,288.25,Standard_B4ms,60.74,227.51
vm-104802,Standard_D8s_v3,288.21,Standard_B4ms,60.74,227.46999999999997
vm-102251,Standard_D8s_v3,287.83,Standard_B4ms,60.74,227.08999999999997
vm-100758,Standard_D8s_v3,287.76,Standard_B4ms,60.74,227.01999999999998
vm-104936,Standard_D8s_v3,287.68,Standard_B4ms,60.74,226.94
vm-103740,Standard_D8s_v3,286.98,Standard_B4ms,60.74,226.24
vm-100506,Standard_D8s_v3,286.96,Standard_B4ms,60.74,226.21999999999997
vm-103288,Standard_D8s_v3,286.8,Standard_B4ms,60.74,226.06
vm-101360,Standard_D8s_v3,286.72,Standard_B4ms,60.74,225.98000000000002
vm-101356,Standard_D8s_v3,286.44,Standard_B4ms,60.74,225.7
vm-104222,Standard_D8s_v3,286.24,Standard_B4ms,60.74,225.5
vm-101367,Standard_D8s_v3,285.82,Standard_B4ms,60.74,225.07999999999998
vm-103391,Standard_D8s_v3,285.8,Standard_B4ms,60.74,225.06
vm-100631,Standard_D8s_v3,285.42,Standard_B4ms,60.74,224.68
vm-102801,Standard_D8s_v3,285.12,Standard_B4ms,60.74,224.38
vm-100401,Standard_D8s_v3,284.9,Standard_B4ms,60.74,224.15999999999997
vm-104605,Standard_D8s_v3,284.52,Standard_B4ms,60.74,223.77999999999997
vm-100453,Standard_D8s_v3,284.45,Standard_B4ms,60.74,223.70999999999998
vm-103779,Standard_D8s_v3,284.4,Standard_B4ms,60.74,223.65999999999997
vm-100203,Standard_D8s_v3,283.82,Standard_B4ms,60.74,223.07999999999998
vm-103941,Standard_D8s_v3,283.68,Standard_B4ms,60.74,222.94
vm-104816,Standard_D8s_v3,283.59,Standard_B4ms,60.74,222.84999999999997
vm-103394,Standard_D8s_v3,283.57,Standard_B4ms,60.74,222.82999999999998
vm-104123,Standard_D8s_v3,283.46,Standard_B4ms,60.74,222.71999999999997
vm-100568,Standard_D8s_v3,283.45,Standard_B4ms,60.74,222.70999999999998
vm-100405,Standard_D8s_v3,283.34,Standard_B4ms,60.74,222.59999999999997
vm-104995,Standard_D8s_v3,282.92,Standard_B4ms,60.74,222.18
vm-102351,Standard_D8s_v3,282.53,Standard_B4ms,60.74,221.78999999999996
vm-103352,Standard_D8s_v3,282.31,Standard_B4ms,60.74,221.57
vm-101785,Standard_D8s_v3,281.96,Standard_B4ms,60.74,221.21999999999997
vm-100192,Standard_D8s_v3,281.66,Standard_B4ms,60.74,220.92000000000002
vm-102083,Standard_D8s_v3,281.63,Standard_B4ms,60.74,220.89
vm-102356,Standard_D8s_v3,281.27,Standard_B4ms,60.74,220.52999999999997
vm-100121,Standard_D8s_v3,280.08,Standard_B4ms,60.74,219.33999999999997
vm-102232,Standard_D8s_v3,279.7,Standard_B4ms,60.74,218.95999999999998
vm-100043,Standard_D8s_v3,279.5,Standard_B4ms,60.74,218.76
vm-104337,Standard_D8s_v3,279.38,Standard_B4ms,60.74,218.64
vm-102113,Standard_D8s_v3,278.58,Standard_B4ms,60.74,217.83999999999997
vm-104517,Standard_D8s_v3,278.32,Standard_B4ms,60.74,217.57999999999998
vm-100922,Standard_D8s_v3,278.21,Standard_B4ms,60.74,217.46999999999997
vm-102425,Standard_D8s_v3,277.86,Standard_B4ms,60.74,217.12
vm-104899,Standard_D8s_v3,277.77,Standard_B4ms,60.74,217.02999999999997
vm-104565,Standard_D8s_v3,277.46,Standard_B4ms,60.74,216.71999999999997
vm-100594,Standard_D8s_v3,276.6,Standard_B4ms,60.74,215.86
vm-102017,Standard_D8s_v3,276.29,Standard_B4ms,60.74,215.55
vm-100897,Standard_D8s_v3,275.87,Standard_B4ms,60.74,215.13
vm-104233,Standard_D8s_v3,275.7,Standard_B4ms,60.74,214.95999999999998
vm-103750,Standard_D8s_v3,275.68,Standard_B4ms,60.74,214.94
vm-102720,Standard_D8s_v3,275.34,Standard_B4ms,60.74,214.59999999999997
vm-101311,Standard_D8s_v3,275.19,Standard_B4ms,60.74,214.45
vm-100947,Standard_D8s_v3,274.96,Standard_B4ms,60.74,214.21999999999997
vm-100191,Standard_D8s_v3,274.53,Standard_B4ms,60.74,213.78999999999996
vm-104527,Standard_D8s_v3,274.39,Standard_B4ms,60.74,213.64999999999998
vm-100104,Standard_D8s_v3,274.27,Standard_B4ms,60.74,213.52999999999997
vm-103504,Standard_D8s_v3,274.11,Standard_B4ms,60.74,213.37
vm-100408,Standard_D8s_v3,273.58,Standard_B4ms,60.74,212.83999999999997
vm-103259,Standard_D8s_v3,273.56,Standard_B4ms,60.74,212.82
vm-101230,Standard_D8s_v3,273.53,Standard_B4ms,60.74,212.78999999999996
vm-102191,Standard_D8s_v3,273.38,Standard_B4ms,60.74,212.64
vm-100748,Standard_D8s_v3,273.23,Standard_B4ms,60.74,212.49
vm-103006,Standard_D8s_v3,272.96,Standard_B4ms,60.74,212.21999999999997
vm-102002,Standard_D8s_v3,272.84,Standard_B4ms,60.74,212.09999999999997
vm-102623,Standard_D8s_v3,272.82,Standard_B4ms,60.74,212.07999999999998
vm-100853,Standard_D8s_v3,272.56,Standard_B4ms,60.74,211.82
vm-104787,Standard_D8s_v3,272.46,Standard_B4ms,60.74,211.71999999999997
vm-101599,Standard_D8s_v3,272.07,Standard_B4ms,60.74,211.32999999999998
vm-100197,Standard_D8s_v3,272.07,Standard_B4ms,60.74,211.32999999999998
vm-104971,Standard_D8s_v3,271.87,Standard_B4ms,60.74,211.13
vm-103623,Standard_DS4_v2,267.7,Standard_B4ms,60.74,206.95999999999998
vm-103705,Standard_DS4_v2,267.66,Standard_B4ms,60.74,206.92000000000002
vm-101848,Standard_DS4_v2,267.53,Standard_B4ms,60.74,206.78999999999996
vm-103225,Standard_DS4_v2,267.46,Standard_B4ms,60.74,206.71999999999997
vm-101735,Standard_DS4_v2,267.15,Standard_B4ms,60.74,206.40999999999997
vm-102661,Standard_DS4_v2,266.73,Standard_B4ms,60.74,205.99
vm-103493,Standard_DS4_v2,266.66,Standard_B4ms,60.74,205.92000000000002
vm-101083,Standard_DS4_v2,266.4,Standard_B2s,30.37,236.02999999999997
vm-101911,Standard_DS4_v2,266.38,Standard_B4ms,60.74,205.64
