vm_id,cluster_id,cluster_vm_count,current_size,cpu_cores,ram_gb,monthly_cost_usd,avg_cpu_usage_percent,avg_ram_usage_percent,cluster_avg_cpu_percent,cluster_avg_ram_percent
vm-100092,cluster-44,93,Standard_B4ms,4,16,81.52,55.24,68.53,29.77021505,34.46806452
vm-100093,cluster-50,99,Standard_D2s_v3,2,8,71.33,6.07,27.85,30.89232323,34.41474747
vm-100094,cluster-30,91,Standard_B4ms,4,16,78.15,21.07,23.07,30.92164835,31.86230769
vm-100095,cluster-39,113,Standard_D2s_v3,2,8,68.6,14.01,18.5,28.6359292,30.87619469
vm-100096,cluster-20,87,Standard_D2s_v3,2,8,69.4,78.16,82.95,29.1954023,31.26563218
vm-100097,cluster-24,102,Standard_F2s_v2,2,4,60.59,11.01,13.03,33.89843137,37.58088235
vm-100098,cluster-23,107,Standard_B1s,1,1,8.09,81.76,81.51,29.45766355,30.96635514
vm-100099,cluster-7,98,Standard_B1s,1,1,7.8,36.98,64.13,30.36265306,31.53826531
vm-100100,cluster-9,107,Standard_B1s,1,1,7.86,4.1,18.96,28.79214953,31.77672897
vm-100101,cluster-1,98,Standard_E2s_v3,2,16,117.66,44.11,59.03,29.765,34.26387755
vm-100102,cluster-26,115,Standard_D1s_v3,1,3,41.2,37.34,36.85,31.49956522,33.43756522
vm-100103,cluster-38,99,Standard_D2s_v3,2,8,70.67,11.83,10.45,34.45858586,37.30060606
vm-100104,cluster-38,99,Standard_D8s_v3,8,32,274.27,11.26,14.41,34.45858586,37.30060606
vm-100105,cluster-44,93,Standard_D1s_v3,1,3,38.84,13.33,17.47,29.77021505,34.46806452
vm-100106,cluster-22,97,Standard_F2s_v2,2,4,60.99,15.49,22.42,29.02226804,31.79835052
vm-100107,cluster-44,93,Standard_B4ms,4,16,79.09,19.27,29.9,29.77021505,34.46806452
vm-100108,cluster-10,114,Standard_D1s_v3,1,3,40.24,21.09,14.7,28.53166667,32.41350877
vm-100109,cluster-6,94,Standard_B1s,1,1,7.76,70,71.8,31.27457447,33.8856383
vm-100110,cluster-17,106,Standard_D1s_v3,1,3,40.78,64.82,49.71,32.69113208,34.37858491
vm-100111,cluster-50,99,Standard_B1s,1,1,8.06,17.76,28.39,30.89232323,34.41474747
vm-100112,cluster-38,99,Standard_E8s_v3,8,64,391.72,17.83,13.35,34.45858586,37.30060606
vm-100113,cluster-24,102,Standard_D4s_v3,4,16,139.36,7.77,11.07,33.89843137,37.58088235
vm-100114,cluster-10,114,Standard_E2s_v3,2,16,119.24,55.58,52.35,28.53166667,32.41350877
vm-100115,cluster-8,92,Standard_F8s_v2,8,16,214.75,70,52.66,30.88869565,34.98445652
vm-100116,cluster-21,95,Standard_D4s_v3,4,16,144.08,19.91,29.14,29.69989474,31.52484211
vm-100117,cluster-6,94,Standard_D1s_v3,1,3,40.72,25.4,23.45,31.27457447,33.8856383
vm-100118,cluster-21,95,Standard_DS4_v2,8,16,258.92,9.19,13.53,29.69989474,31.52484211
vm-100119,cluster-39,113,Standard_D2s_v3,2,8,71.66,6.83,18.39,28.6359292,30.87619469
vm-100120,cluster-24,102,Standard_D4s_v3,4,16,142.6,49.79,50.53,33.89843137,37.58088235
vm-100121,cluster-33,116,Standard_D8s_v3,8,32,280.08,22.49,20.64,28.79327586,30.84103448
vm-100122,cluster-18,114,Standard_D1s_v3,1,3,39.71,41.37,62.37,29.90236842,30.61052632
vm-100123,cluster-28,99,Standard_B1s,1,1,8.03,26.95,2.04,31.59616162,32.48343434
vm-100124,cluster-32,86,Standard_D1s_v3,1,3,41.03,4.38,19.71,28.06523256,30.29674419
vm-100125,cluster-12,107,Standard_F2s_v2,2,4,60.54,6.21,29.9,28.98738318,31.40728972
vm-100126,cluster-48,103,Standard_E4s_v3,4,32,199.29,10.95,19.99,30.88825243,34.43262136
vm-100127,cluster-42,115,Standard_F8s_v2,8,16,218.61,85.65,81.7,31.29747826,33.29347826
vm-100128,cluster-27,85,Standard_B1s,1,1,8.23,44.75,59.36,31.456,34.09611765
vm-100129,cluster-10,114,Standard_D2s_v3,2,8,68.17,43.89,50.45,28.53166667,32.41350877
vm-100130,cluster-46,84,Standard_F2s_v2,2,4,60.17,18.48,7.8,29.13321429,31.1272619
vm-100131,cluster-42,115,Standard_D1s_v3,1,3,39.16,29.9,19.94,31.29747826,33.29347826
vm-100132,cluster-32,86,Standard_B1s,1,1,8.24,54.93,46.9,28.06523256,30.29674419
vm-100133,cluster-42,115,Standard_B2s,2,4,21.89,90.83,76.57,31.29747826,33.29347826
vm-100134,cluster-26,115,Standard_L8s,8,64,805.1,8.58,28.39,31.49956522,33.43756522
vm-100135,cluster-25,102,Standard_D1s_v3,1,3,40.7,14.91,20.18,29.09637255,30.62176471
vm-100136,cluster-11,98,Standard_D2s_v3,2,8,69.37,10.15,1.33,30.00326531,31.15336735
vm-100137,cluster-23,107,Standard_DS3_v2,4,8,131.16,60.06,58.44,29.45766355,30.96635514
vm-100138,cluster-34,89,Standard_B2s,2,4,22.48,49.56,53.48,32.59314607,34.07651685
vm-100139,cluster-40,78,Standard_M8ms,8,192,1512.39,10.42,25.29,29.16679487,30.12717949
vm-100140,cluster-23,107,Standard_M8ms,8,192,1529.96,29.9,20.41,29.45766355,30.96635514
vm-100141,cluster-29,108,Standard_D1s_v3,1,3,38.95,22.69,23.75,29.33583333,30.73490741
vm-100142,cluster-31,111,Standard_D2s_v3,2,8,70.95,26.09,28.42,33.35711712,35.1618018
vm-100143,cluster-7,98,Standard_D1s_v3,1,3,39.31,63.1,66.84,30.36265306,31.53826531
vm-100144,cluster-40,78,Standard_D1s_v3,1,3,39.17,11.8,29.9,29.16679487,30.12717949
vm-100145,cluster-33,116,Standard_B1s,1,1,8.23,18.33,29.9,28.79327586,30.84103448
vm-100146,cluster-21,95,Standard_E2s_v3,2,16,119.63,16.88,5.53,29.69989474,31.52484211
vm-100147,cluster-2,111,Standard_D2s_v3,2,8,69.11,42.67,35.05,32.70495495,34.45828829
vm-100148,cluster-18,114,Standard_B1s,1,1,7.87,14.5,13.76,29.90236842,30.61052632
vm-100149,cluster-47,87,Standard_D1s_v3,1,3,39.95,27.54,24.91,29.85241379,31.44597701
vm-100150,cluster-33,116,Standard_D8s_v3,8,32,284.17,79.44,84.24,28.79327586,30.84103448
vm-100151,cluster-37,101,Standard_D1s_v3,1,3,40.8,22.19,14.77,30.84445545,32.48534653
vm-100152,cluster-34,89,Standard_B1s,1,1,7.94,9.54,15.32,32.59314607,34.07651685
vm-100153,cluster-20,87,Standard_D2s_v3,2,8,70.99,14.25,29.9,29.1954023,31.26563218
vm-100154,cluster-35,92,Standard_M16ms,16,384,2955.58,19.04,18.5,30.91619565,31.5298913
vm-100155,cluster-50,99,Standard_D1s_v3,1,3,38.97,21.76,8.07,30.89232323,34.41474747
vm-100156,cluster-18,114,Standard_F4s_v2,4,8,112.29,24.23,20.67,29.90236842,30.61052632
vm-100157,cluster-46,84,Standard_B4ms,4,16,80.17,14.12,19.91,29.13321429,31.1272619
vm-100158,cluster-24,102,Standard_D1s_v3,1,3,39.07,11.02,29.9,33.89843137,37.58088235
vm-100159,cluster-8,92,Standard_DS3_v2,4,8,128.84,24.47,13.97,30.88869565,34.98445652
vm-100160,cluster-30,91,Standard_B2s,2,4,21.56,13.99,27.92,30.92164835,31.86230769
vm-100161,cluster-44,93,Standard_E2s_v3,2,16,116.52,6.69,2.62,29.77021505,34.46806452
vm-100162,cluster-10,114,Standard_E2s_v3,2,16,117.22,17.19,18.88,28.53166667,32.41350877
vm-100163,cluster-23,107,Standard_D2s_v3,2,8,70.04,48.08,48.69,29.45766355,30.96635514
vm-100164,cluster-49,103,Standard_B1s,1,1,7.92,30,69.49,30.55339806,35.20300971
vm-100165,cluster-11,98,Standard_E4s_v3,4,32,199.8,18,16.52,30.00326531,31.15336735
vm-100166,cluster-2,111,Standard_D1s_v3,1,3,39.98,21.26,15.17,32.70495495,34.45828829
vm-100167,cluster-26,115,Standard_D1s_v3,1,3,40.13,34.01,43.73,31.49956522,33.43756522
vm-100168,cluster-36,96,Standard_B1s,1,1,7.87,12.19,27.7,31.16125,32.08541667
vm-100169,cluster-33,116,Standard_E2s_v3,2,16,121.2,9.5,20.62,28.79327586,30.84103448
vm-100170,cluster-47,87,Standard_F4s_v2,4,8,106.94,71.8,83.19,29.85241379,31.44597701
vm-100171,cluster-13,119,Standard_B1s,1,1,7.8,7.6,26.95,30.93142857,33.1905042
vm-100172,cluster-40,78,Standard_D2s_v3,2,8,69.83,12.54,28.71,29.16679487,30.12717949
vm-100173,cluster-25,102,Standard_D1s_v3,1,3,39.52,52.66,30.22,29.09637255,30.62176471
vm-100174,cluster-4,102,Standard_E2s_v3,2,16,119.18,42.09,34.15,28.31901961,30.97411765
vm-100175,cluster-42,115,Standard_D1s_v3,1,3,40.2,26.53,20.98,31.29747826,33.29347826
vm-100176,cluster-19,106,Standard_DS3_v2,4,8,126.16,19.26,15.95,33.03849057,36.94792453
vm-100177,cluster-18,114,Standard_B2s,2,4,21.75,22.69,29,29.90236842,30.61052632
vm-100178,cluster-37,101,Standard_L8s,8,64,813.6,24.49,14.84,30.84445545,32.48534653
vm-100179,cluster-30,91,Standard_B1s,1,1,8.03,8.59,12.1,30.92164835,31.86230769
vm-100180,cluster-19,106,Standard_B2s,2,4,22.02,42.65,46.51,33.03849057,36.94792453
vm-100181,cluster-23,107,Standard_B1s,1,1,8,45.5,39.24,29.45766355,30.96635514
vm-100182,cluster-16,115,Standard_E8s_v3,8,64,398.08,78.98,81.91,32.42495652,35.61747826
vm-100183,cluster-1,98,Standard_DS4_v2,8,16,259.29,11.97,21.88,29.765,34.26387755
vm-100184,cluster-12,107,Standard_D1s_v3,1,3,40.68,22.45,16.05,28.98738318,31.40728972
vm-100185,cluster-24,102,Standard_F4s_v2,4,8,112.2,21.88,26.44,33.89843137,37.58088235
vm-100186,cluster-34,89,Standard_E4s_v3,4,32,202.3,42.31,30,32.59314607,34.07651685
vm-100187,cluster-8,92,Standard_D2s_v3,2,8,68.84,27.66,27.01,30.88869565,34.98445652
vm-100188,cluster-18,114,Standard_D2s_v3,2,8,71.23,9.81,21.63,29.90236842,30.61052632
vm-100189,cluster-48,103,Standard_D1s_v3,1,3,38.82,3.43,25.38,30.88825243,34.43262136
vm-100190,cluster-5,100,Standard_B1s,1,1,7.95,17.23,14.6,27.0222,31.858
vm-100191,cluster-26,115,Standard_D8s_v3,8,32,274.53,15.18,10.29,31.49956522,33.43756522
vm-100192,cluster-30,91,Standard_D8s_v3,8,32,281.66,14.74,26.43,30.92164835,31.86230769
vm-100193,cluster-13,119,Standard_E2s_v3,2,16,123.18,72.7,82.03,30.93142857,33.1905042
vm-100194,cluster-19,106,Standard_B2s,2,4,21.55,3.9,22.51,33.03849057,36.94792453
vm-100195,cluster-29,108,Standard_B2s,2,4,22.49,51.09,30,29.33583333,30.73490741
vm-100196,cluster-3,100,Standard_DS3_v2,4,8,127.25,13.15,22.67,29.0927,33.2273
vm-100197,cluster-26,115,Standard_D8s_v3,8,32,272.07,8.66,17.48,31.49956522,33.43756522
vm-100198,cluster-40,78,Standard_DS4_v2,8,16,267.4,76.01,83.39,29.16679487,30.12717949
vm-100199,cluster-12,107,Standard_D4s_v3,4,16,136.73,62.91,59.9,28.98738318,31.40728972
vm-100200,cluster-2,111,Standard_E2s_v3,2,16,121.1,78.96,82.77,32.70495495,34.45828829
vm-100201,cluster-11,98,Standard_B1s,1,1,7.76,92.44,82.11,30.00326531,31.15336735
vm-100202,cluster-44,93,Standard_B1s,1,1,7.93,58.32,54.43,29.77021505,34.46806452
vm-100203,cluster-28,99,Standard_D8s_v3,8,32,283.82,16.69,12.58,31.59616162,32.48343434
vm-100204,cluster-18,114,Standard_E2s_v3,2,16,117.46,16.84,18.23,29.90236842,30.61052632
vm-100205,cluster-13,119,Standard_B1s,1,1,8.12,10.81,29.9,30.93142857,33.1905042
vm-100206,cluster-37,101,Standard_B1s,1,1,7.89,24.84,15.32,30.84445545,32.48534653
vm-100207,cluster-22,97,Standard_F4s_v2,4,8,113.21,22.01,15.99,29.02226804,31.79835052
vm-100208,cluster-12,107,Standard_B1s,1,1,7.95,6.02,23.51,28.98738318,31.40728972
vm-100209,cluster-2,111,Standard_B1s,1,1,8.13,82.12,78.11,32.70495495,34.45828829
vm-100210,cluster-37,101,Standard_D2s_v3,2,8,69.33,7.98,22.48,30.84445545,32.48534653
vm-100211,cluster-7,98,Standard_DS3_v2,4,8,131.08,37.62,58.53,30.36265306,31.53826531
vm-100212,cluster-26,115,Standard_F4s_v2,4,8,111.82,20.7,21.05,31.49956522,33.43756522
vm-100213,cluster-26,115,Standard_D1s_v3,1,3,39.25,19.02,29.9,31.49956522,33.43756522
vm-100214,cluster-24,102,Standard_DS3_v2,4,8,131.39,89.62,70,33.89843137,37.58088235
vm-100215,cluster-12,107,Standard_D1s_v3,1,3,39.44,70,91.35,28.98738318,31.40728972
vm-100216,cluster-16,115,Standard_B2s,2,4,22.19,21.62,12.91,32.42495652,35.61747826
vm-100217,cluster-23,107,Standard_B4ms,4,16,78.86,32.99,72.06,29.45766355,30.96635514
vm-100218,cluster-40,78,Standard_E2s_v3,2,16,119.68,23.39,25.85,29.16679487,30.12717949
vm-100219,cluster-9,107,Standard_E4s_v3,4,32,202.42,7.08,29.9,28.79214953,31.77672897
vm-100220,cluster-32,86,Standard_F4s_v2,4,8,110.08,82,87.35,28.06523256,30.29674419
vm-100221,cluster-15,99,Standard_D2s_v3,2,8,70.76,29.9,15.08,30.97131313,33.51333333
vm-100222,cluster-37,101,Standard_B1s,1,1,7.81,29.9,27.72,30.84445545,32.48534653
vm-100223,cluster-13,119,Standard_B2s,2,4,21.4,57.05,30,30.93142857,33.1905042
vm-100224,cluster-5,100,Standard_D1s_v3,1,3,40.14,23.82,23.58,27.0222,31.858
vm-100225,cluster-11,98,Standard_D1s_v3,1,3,39.19,1.28,26.29,30.00326531,31.15336735
vm-100226,cluster-10,114,Standard_M8ms,8,192,1538.48,20.21,16.29,28.53166667,32.41350877
vm-100227,cluster-13,119,Standard_B2s,2,4,22.55,69.46,42,30.93142857,33.1905042
vm-100228,cluster-41,98,Standard_DS4_v2,8,16,261.82,19.03,18.21,27.47755102,29.77244898
vm-100229,cluster-46,84,Standard_E2s_v3,2,16,121.32,70,86.54,29.13321429,31.1272619
vm-100230,cluster-50,99,Standard_D4s_v3,4,16,140.28,16.16,21.6,30.89232323,34.41474747
vm-100231,cluster-15,99,Standard_D2s_v3,2,8,69.45,27.74,20.28,30.97131313,33.51333333
vm-100232,cluster-42,115,Standard_E2s_v3,2,16,120.43,11.3,13.46,31.29747826,33.29347826
vm-100233,cluster-7,98,Standard_D2s_v3,2,8,69.55,45.22,43.75,30.36265306,31.53826531
vm-100234,cluster-40,78,Standard_D1s_v3,1,3,40.32,29.9,25.21,29.16679487,30.12717949
vm-100235,cluster-28,99,Standard_DS3_v2,4,8,129.35,5.14,6.26,31.59616162,32.48343434
vm-100236,cluster-32,86,Standard_D1s_v3,1,3,40.04,43.43,80,28.06523256,30.29674419
vm-100237,cluster-35,92,Standard_B1s,1,1,8.21,19.19,19.81,30.91619565,31.5298913
vm-100238,cluster-15,99,Standard_E2s_v3,2,16,122.45,13.26,17.32,30.97131313,33.51333333
vm-100239,cluster-48,103,Standard_D1s_v3,1,3,40.51,21.64,18.66,30.88825243,34.43262136
vm-100240,cluster-36,96,Standard_L8s,8,64,821.32,22.68,6.52,31.16125,32.08541667
vm-100241,cluster-21,95,Standard_L8s,8,64,811.38,22.17,26.15,29.69989474,31.52484211
vm-100242,cluster-6,94,Standard_E8s_v3,8,64,394.63,20.97,16.63,31.27457447,33.8856383
vm-100243,cluster-1,98,Standard_B2s,2,4,22.47,76.46,85.67,29.765,34.26387755
vm-100244,cluster-4,102,Standard_B1s,1,1,7.81,18.76,6.09,28.31901961,30.97411765
vm-100245,cluster-11,98,Standard_E8s_v3,8,64,405.24,56.77,57.01,30.00326531,31.15336735
vm-100246,cluster-44,93,Standard_F2s_v2,2,4,61.56,13.73,20.25,29.77021505,34.46806452
vm-100247,cluster-26,115,Standard_M8ms,8,192,1526.52,25.17,26.84,31.49956522,33.43756522
vm-100248,cluster-37,101,Standard_M8ms,8,192,1521.03,40.44,73.97,30.84445545,32.48534653
vm-100249,cluster-23,107,Standard_F8s_v2,8,16,223.99,25.07,22.85,29.45766355,30.96635514
vm-100250,cluster-29,108,Standard_D1s_v3,1,3,38.88,17.18,16.45,29.33583333,30.73490741
vm-100251,cluster-21,95,Standard_B2s,2,4,22.49,47.63,37.1,29.69989474,31.52484211
vm-100252,cluster-48,103,Standard_E4s_v3,4,32,204.93,17.08,11.82,30.88825243,34.43262136
vm-100253,cluster-45,86,Standard_D1s_v3,1,3,40.65,18.59,29.9,27.955,31.71430233
vm-100254,cluster-45,86,Standard_D1s_v3,1,3,39.1,70,82.49,27.955,31.71430233
vm-100255,cluster-49,103,Standard_D2s_v3,2,8,71.81,73.8,75.42,30.55339806,35.20300971
vm-100256,cluster-27,85,Standard_L8s,8,64,799.67,15.86,29.9,31.456,34.09611765
vm-100257,cluster-39,113,Standard_DS3_v2,4,8,132.36,24.34,11.69,28.6359292,30.87619469
vm-100258,cluster-40,78,Standard_E2s_v3,2,16,119.3,25.14,29.9,29.16679487,30.12717949
vm-100259,cluster-13,119,Standard_B1s,1,1,7.88,83.78,94.33,30.93142857,33.1905042
vm-100260,cluster-23,107,Standard_E2s_v3,2,16,122.74,30,30,29.45766355,30.96635514
vm-100261,cluster-16,115,Standard_M16ms,16,384,3034.07,52.54,74.3,32.42495652,35.61747826
vm-100262,cluster-30,91,Standard_B1s,1,1,8.09,29.9,22.84,30.92164835,31.86230769
vm-100263,cluster-4,102,Standard_D2s_v3,2,8,71.24,21.71,7.88,28.31901961,30.97411765
vm-100264,cluster-40,78,Standard_DS4_v2,8,16,257.81,62.41,48.15,29.16679487,30.12717949
vm-100265,cluster-16,115,Standard_B4ms,4,16,80.46,45.66,60.69,32.42495652,35.61747826
vm-100266,cluster-31,111,Standard_DS3_v2,4,8,130.06,10.18,29.9,33.35711712,35.1618018
